S5AB,S5AN,S5AS,S5CCY,S5ACT,S5II50,S5DTEF,S5DTEH,S5II13,S5II22,S5II23,S5II27,S5STM,S5STNL,S5II30,S5II34,S5IIF3,S5BAL,S5CRD1,S5CRD2,S5IDBD,S5IFQD,S5LCDD,S5NCDD,S5RFQD,S5LRED,S5NRDD,S5AIMD,S5AM1D,S5AM2D,S5IM1D,S5IM2D,S5IM3D,S5IIMD,S5IM4D,S5IM5D,S5AM4D,S5PRVD,S5PL1D,S5PL2D,S5BRRD,S5DRRD,S5TRCD,S5RATD,S5RTMD,S5PEGD,S5II53,S5IID0,S5IIH0,S5BLV,S5CRC1,S5CRC2,S5IDBC,S5IFQC,S5LCDC,S5NCDC,S5RFQC,S5LREC,S5NRDC,S5AIMC,S5AM1C,S5AM2C,S5IM1C,S5IM2C,S5IM3C,S5IIMC,S5IM4C,S5IM5C,S5AM4C,S5PRVC,S5PL1C,S5PL2C,S5BRRC,S5DRRC,S5TRCC,S5RATC,S5RTMC,S5PEGC,S5YFWD,S5ODL,S5PDR,S5IIA4,S5PEN,S5DLM,S5CTYP,S5DTEB,S5CBAL,S5OBR,S5ODR,S5APRD,S5APRC,S5DAPR,S5CAPR,S5IIFD,S5IBFD,S5VAFD,S5DINA,S5DONA,S5NAID,S5NIID,S5NA1D,S5NI2D,S5NI3D,S5NA4D,S5IFQB,S5NCDB,S5AODL,S5DODL,S5POOL,S5FM2C,S5FM2D,S5BM2C,S5BM2D,S5RCAL,S5SCC,S5EXC,S5RCCY,S5IM6D,S5IM7D,S5IM8D,S5IM9D,S5IM6C,S5IM7C,S5IM8C,S5IM9C,S5NI6D,S5NI7D,S5NI9D,S5BM6D,S5FM6D,S5BM9D,S5FM9D,S5BM6C,S5FM6C,S5BM9C,S5FM9C,S5CONR,S5CONP,S5TAXM,S5CONZ,S5CONX,S5RDTE,S5IACF
0005,839938,003,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,550921,,,,,,,,26635,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,664918,,,,,,,,308432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,153409,004,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,890120,,,,,,,,310187,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,476175,,,,,,,,61970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,504504,009,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,480830,,,,,,,,171550,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,301526,,,,,,,,587628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001,867015,005,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,020421,,,,,,,,302758,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,200108,,,,,,,,94671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,588785,001,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,180115,,,,,,,,368731,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,622531,,,,,,,,888340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002,593366,003,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,710929,,,,,,,,911390,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,357214,,,,,,,,914333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,175460,007,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,740527,,,,,,,,741404,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,761913,,,,,,,,945624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,915560,007,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,970301,,,,,,,,609804,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,529476,,,,,,,,422691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,683192,009,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,241120,,,,,,,,506359,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,660568,,,,,,,,353217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,382168,005,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,280330,,,,,,,,959344,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,930228,,,,,,,,167130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,722569,008,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,220308,,,,,,,,99036,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,69719,,,,,,,,744555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001,947817,004,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,350901,,,,,,,,29862,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,591768,,,,,,,,423963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,117525,003,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,150417,,,,,,,,525326,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,751578,,,,,,,,847915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001,476830,006,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,790619,,,,,,,,898358,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,23887,,,,,,,,569794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001,817160,008,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,751007,,,,,,,,402134,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,180179,,,,,,,,628540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,348897,008,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,000520,,,,,,,,807662,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,347596,,,,,,,,639718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001,827333,002,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,970322,,,,,,,,243636,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,893420,,,,,,,,614249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,359315,004,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,460101,,,,,,,,210659,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,311234,,,,,,,,604878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,963513,005,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,650703,,,,,,,,17762,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,245989,,,,,,,,617321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,804353,002,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,660625,,,,,,,,10085,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,524113,,,,,,,,283273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001,436039,009,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,620608,,,,,,,,998593,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,185122,,,,,,,,120939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,226751,005,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,270605,,,,,,,,430018,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,977238,,,,,,,,267611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,118701,002,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,520116,,,,,,,,554326,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,228040,,,,,,,,106878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,855662,001,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,790707,,,,,,,,519356,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,982997,,,,,,,,500039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,442278,008,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,121206,,,,,,,,913559,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,254388,,,,,,,,74828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,385101,002,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,170329,,,,,,,,642238,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,105558,,,,,,,,71465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001,696207,002,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,820114,,,,,,,,160706,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,654105,,,,,,,,440455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002,776383,004,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,611223,,,,,,,,796593,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,172917,,,,,,,,526748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,851598,002,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,051020,,,,,,,,176424,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,85059,,,,,,,,126127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001,700522,008,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,940518,,,,,,,,445332,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,335695,,,,,,,,616684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,795491,005,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,421107,,,,,,,,457237,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,766757,,,,,,,,511816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,579057,009,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,740727,,,,,,,,34544,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,718491,,,,,,,,220871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002,698924,009,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,581114,,,,,,,,424318,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,429211,,,,,,,,280070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,638233,009,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,030622,,,,,,,,205643,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,814454,,,,,,,,725886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002,434563,005,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,641003,,,,,,,,466791,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,408616,,,,,,,,706478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002,886584,007,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,811214,,,,,,,,662502,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,687891,,,,,,,,116798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001,487314,008,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,420726,,,,,,,,204363,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,334489,,,,,,,,847159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,818660,004,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,461130,,,,,,,,342258,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,513360,,,,,,,,36956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,383123,007,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,320426,,,,,,,,224353,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,864182,,,,,,,,629739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,206232,007,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,560326,,,,,,,,644331,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,839584,,,,,,,,591491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,412301,008,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,801217,,,,,,,,665543,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,583271,,,,,,,,905096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,779701,004,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,860911,,,,,,,,713095,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,849844,,,,,,,,574118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,319169,001,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,880421,,,,,,,,863679,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,831610,,,,,,,,181656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,876375,005,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,131023,,,,,,,,480795,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,920043,,,,,,,,798544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001,652925,001,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,120329,,,,,,,,111975,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,261775,,,,,,,,178982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,313012,004,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,150718,,,,,,,,77472,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,854383,,,,,,,,69456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,496196,003,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,910321,,,,,,,,976207,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,204083,,,,,,,,246732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,511804,009,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,720326,,,,,,,,850589,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,839392,,,,,,,,170175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,463356,001,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,260130,,,,,,,,370005,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,622593,,,,,,,,500571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002,986244,003,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,910625,,,,,,,,876080,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,457442,,,,,,,,792948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,152401,009,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,460512,,,,,,,,887723,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,984820,,,,,,,,705498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003,822951,008,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,670909,,,,,,,,940755,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,658267,,,,,,,,615620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004,980645,004,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,440125,,,,,,,,149486,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,278816,,,,,,,,461664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001,203798,002,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,400106,,,,,,,,658838,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,817221,,,,,,,,300709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002,249932,007,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,030215,,,,,,,,287651,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,157514,,,,,,,,444421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002,945259,008,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,230602,,,,,,,,544355,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,832622,,,,,,,,840803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,313199,006,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,810702,,,,,,,,902087,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,563192,,,,,,,,473667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,749731,002,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,220218,,,,,,,,682875,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,395719,,,,,,,,844509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0001,782004,005,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,540606,,,,,,,,136065,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,279170,,,,,,,,427227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,603422,002,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,280314,,,,,,,,698388,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,53651,,,,,,,,633438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,137826,002,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,040901,,,,,,,,367486,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,599775,,,,,,,,456318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0005,751245,005,INR,,,,,,,,,,,,,,,,,,,,1190331,,,,,040210,,,,,,,,895455,,,,,,,,,,,,,,,,,,1190301,1190331,,,,,280874,,,,,,,,54752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
