GFCUS,GFCLC,GFCUN,GFCPNC,GFDAS,GFC1R,GFC2R,GFC3R,GFC4R,GFC5R,GFP1R,GFP2R,GFP3R,GFP4R,GFP5R,GFCTP,GFCUB,GFCUC,GFCUD,GFCUZ,GFSAC,GFACO,GFCRF,GFLNM,GFCA2,GFCNAP,GFCNAR,GFCNAL,GFCOD,GFDCC,GFDLM,GFITRT,GFBRNM,GFCRB1,GFCRB2,GFADJ,GFERCP,GFERCC,GFDRC,GFGRPS,GFCUNA,GFDASA,GFCUNM,GFCNAI,GFGRP,GFMTB,GFETX,GFYFON,GFDFRQ,GFFON,GFFOL,GFDEL,GFSTMP,GFCREF,GFOATP,GFOCCL,GFHDD,GFDDED,GFRDDH,GFYTRI,GFYRET,GFYPLA,GFYOPI,GFYNET,GFYRI1,GFYRI2,GFYRI3,GFYRI4,GFPCUS,GFPCLC,GFCS,GFCFRQ,GFFCYC,GFCSSA,GFPSTM,GFNSTM,GFSTN,GFOCID,GFCLSF,GFCLST,GFCLTV,GFCLTP,GFDRTY,GFMRTY,GFSEID,GFCST,GFAUNO
111130,IND,Grace Chapple,111130,Grace,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111130,01,C3,IN,IN,IN,0950628,,1190110,0.06,1024,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111131,IND,Elida Seekins,111131,Elida,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111131,01,C3,IN,IN,IN,0900926,,1190228,0.07,1004,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111132,IND,Jenise Burgo,111132,Jenise,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111132,01,C3,IN,IN,IN,0891120,,1190305,0.03,1020,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111133,IND,Miquel Coyer,111133,Miquel,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111133,01,C3,IN,IN,IN,0950101,,1190311,0.07,1015,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111134,IND,Evelyne Torkelson,111134,Evelyne,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111134,01,C3,IN,IN,IN,0890418,,1190228,0.05,1019,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111135,IND,Kenyatta Warrick,111135,Kenyatta,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111135,01,C3,IN,IN,IN,0980601,,1190106,0.06,1013,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111136,IND,Karlyn Mcgoldrick,111136,Karlyn,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111136,01,C3,IN,IN,IN,0980109,,1190201,0.02,1009,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111137,IND,Burt Mcdonell,111137,Burt,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111137,01,C3,IN,IN,IN,0930806,,1190217,0.02,1022,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111138,IND,Towanda Mund,111138,Towanda,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111138,01,C3,IN,IN,IN,0930321,,1190113,0.04,1013,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111139,IND,Sybil Lown,111139,Sybil,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111139,01,C3,IN,IN,IN,0910504,,1190130,0.03,1009,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111140,IND,Deborah Harwood,111140,Deborah,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111140,01,C3,IN,IN,IN,0900313,,1190313,0.08,1019,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111141,IND,Jayme Birdwell,111141,Jayme,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111141,01,C3,IN,IN,IN,0901008,,1190307,0.06,1010,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111142,IND,Etsuko Riehl,111142,Etsuko,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111142,01,C3,IN,IN,IN,0900413,,1190106,0.04,1012,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111143,IND,Winford Thiry,111143,Winford,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111143,01,C3,IN,IN,IN,0990330,,1190122,0.03,1009,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111144,IND,Myrta Domer,111144,Myrta,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111144,01,C3,IN,IN,IN,0850213,,1190311,0.06,1021,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111145,IND,Leora Parada,111145,Leora,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111145,01,C3,IN,IN,IN,0870615,,1190202,0.02,1022,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111146,IND,Salley Buffkin,111146,Salley,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111146,01,C3,IN,IN,IN,0910902,,1190118,0.06,1010,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111147,IND,Jenelle Blocher,111147,Jenelle,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111147,01,C3,IN,IN,IN,0990706,,1190112,0.03,1013,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111148,IND,Merrilee Rees,111148,Merrilee,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111148,01,C3,IN,IN,IN,0950814,,1190214,0.04,1021,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111149,IND,Manie Robare,111149,Manie,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111149,01,C3,IN,IN,IN,0901105,,1190112,0.04,1013,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111150,IND,Kenny Hutchins,111150,Kenny,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111150,01,C3,IN,IN,IN,0910310,,1190308,0.01,1009,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111151,IND,Merry Eder,111151,Merry,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111151,01,C3,IN,IN,IN,0891108,,1190216,0.08,1018,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111152,IND,Elisa Pippenger,111152,Elisa,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111152,01,C3,IN,IN,IN,0900805,,1190110,0.08,1008,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111153,IND,Deshawn Calton,111153,Deshawn,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111153,01,C3,IN,IN,IN,0870722,,1190223,0.01,1007,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111154,IND,Hermelinda Pinner,111154,Hermelinda,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111154,01,C3,IN,IN,IN,0861129,,1190215,0.03,1007,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111155,IND,Yasmin Settles,111155,Yasmin,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111155,01,C3,IN,IN,IN,0900922,,1190108,0.06,1003,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111156,IND,Robbie Dong,111156,Robbie,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111156,01,C3,IN,IN,IN,0850522,,1190302,0.01,1012,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111157,IND,Brittni Schaller,111157,Brittni,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111157,01,C3,IN,IN,IN,0980120,,1190209,0.01,1021,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111158,IND,Syreeta Hamiter,111158,Syreeta,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111158,01,C3,IN,IN,IN,0970831,,1190118,0.04,1002,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111159,IND,Merlyn Kepley,111159,Merlyn,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111159,01,C3,IN,IN,IN,0940218,,1190118,0.07,1002,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111160,IND,Clark Slama,111160,Clark,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111160,01,C3,IN,IN,IN,0950519,,1190211,0.05,1017,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111161,IND,Kazuko Neitzel,111161,Kazuko,1,1,1,1,1,1,1,1,1,1,EC,0,0,0,0,AC,PAC,111161,01,C3,IN,IN,IN,0950728,,1190221,0.04,1008,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111162,IND,Colene Stickley,111162,Colene,1,1,1,1,1,1,1,1,1,1,EC,0,0,0,0,AC,PAC,111162,01,C3,IN,IN,IN,0981203,,1190220,0.05,1021,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111163,IND,Marcel Levin,111163,Marcel,1,1,1,1,1,1,1,1,1,1,EC,0,0,0,0,AC,PAC,111163,01,C3,IN,IN,IN,0950702,,1190311,0.04,1006,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111164,IND,Ellan Mikula,111164,Ellan,1,1,1,1,1,1,1,1,1,1,EC,0,0,0,0,AC,PAC,111164,01,C3,IN,IN,IN,0991204,,1190116,0.03,1021,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111165,IND,Karan Baginski,111165,Karan,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111165,01,C3,IN,IN,IN,0910408,,1190216,0.07,1010,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111166,IND,Edra Gammage,111166,Edra,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111166,01,C3,IN,IN,IN,0920908,,1190119,0.04,1013,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111167,IND,Cristina Ohara,111167,Cristina,1,1,1,1,1,1,1,1,1,1,EC,0,0,0,0,AC,PAC,111167,01,C3,IN,IN,IN,0960808,,1190124,0.02,1022,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111168,IND,Miesha Raye,111168,Miesha,1,1,1,1,1,1,1,1,1,1,EC,0,0,0,0,AC,PAC,111168,01,C3,IN,IN,IN,0870624,,1190106,0.02,1002,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111169,IND,Carlita Markowski,111169,Carlita,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111169,01,C3,IN,IN,IN,0960924,,1190225,0.01,1008,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111170,IND,Kyoko Carnegie,111170,Kyoko,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111170,01,C3,IN,IN,IN,0880314,,1190208,0.04,1011,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111171,IND,Mamie Cavanaugh,111171,Mamie,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111171,01,C3,IN,IN,IN,0920219,,1190227,0.06,1009,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111172,IND,Hope Lisowski,111172,Hope,1,1,1,1,1,1,1,1,1,1,EC,0,0,0,0,AC,PAC,111172,01,C3,IN,IN,IN,0990710,,1190126,0.06,1015,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111173,IND,Luetta Veale,111173,Luetta,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111173,01,C3,IN,IN,IN,0940918,,1190303,0.06,1017,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111174,IND,Tonia Truett,111174,Tonia,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111174,01,C3,IN,IN,IN,0920518,,1190209,0.03,1024,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111175,IND,Ailene Shriner,111175,Ailene,1,1,1,1,1,1,1,1,1,1,EC,0,0,0,0,AC,PAC,111175,01,C3,IN,IN,IN,0861106,,1190110,0.04,1022,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111176,IND,Hipolito Sampson,111176,Hipolito,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111176,01,C3,IN,IN,IN,0940411,,1190314,0.07,1023,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111177,IND,Dino Hashimoto,111177,Dino,1,1,1,1,1,1,1,1,1,1,EC,0,0,0,0,AC,PAC,111177,01,C3,IN,IN,IN,0880410,,1190201,0.07,1008,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111178,IND,Marivel Headley,111178,Marivel,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111178,01,C3,IN,IN,IN,0980909,,1190116,0.01,1010,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111179,IND,Marcella Edgar,111179,Marcella,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111179,01,C3,IN,IN,IN,0960913,,1190312,0.01,1010,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111180,IND,Catharine Koehl,111180,Catharine,1,1,1,1,1,1,1,1,1,1,EC,0,0,0,0,AC,PAC,111180,01,C3,IN,IN,IN,0910101,,1190130,0.03,1013,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111181,IND,Elwanda Depaolo,111181,Elwanda,1,1,1,1,1,1,1,1,1,1,EC,0,0,0,0,AC,PAC,111181,01,C3,IN,IN,IN,0980228,,1190208,0.03,1009,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111182,IND,Tommy Varnadoe,111182,Tommy,1,1,1,1,1,1,1,1,1,1,EC,0,0,0,0,AC,PAC,111182,01,C3,IN,IN,IN,0930830,,1190127,0.01,1013,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111183,IND,Cathrine Bogle,111183,Cathrine,1,1,1,1,1,1,1,1,1,1,EC,0,0,0,0,AC,PAC,111183,01,C3,IN,IN,IN,0911009,,1190106,0.03,1023,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111184,IND,Antony Jeanpierre,111184,Antony,1,1,1,1,1,1,1,1,1,1,EC,0,0,0,0,AC,PAC,111184,01,C3,IN,IN,IN,0990514,,1190124,0.06,1018,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111185,IND,Jaimie Schacherer,111185,Jaimie,1,1,1,1,1,1,1,1,1,1,EC,0,0,0,0,AC,PAC,111185,01,C3,IN,IN,IN,0900206,,1190219,0.06,1025,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111186,IND,Yee Wesley,111186,Yee,1,1,1,1,1,1,1,1,1,1,EC,0,0,0,0,AC,PAC,111186,01,C3,IN,IN,IN,0861225,,1190206,0.03,1010,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111187,IND,Denisse Wess,111187,Denisse,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111187,01,C3,IN,IN,IN,0890704,,1190315,0.02,1009,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111188,IND,Gail Abelson,111188,Gail,1,1,1,1,1,1,1,1,1,1,EC,0,0,0,0,AC,PAC,111188,01,C3,IN,IN,IN,0970329,,1190221,0.01,1001,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111189,IND,Marvella Chivers,111189,Marvella,1,1,1,1,1,1,1,1,1,1,EA,0,0,0,0,AC,PAC,111189,01,C3,IN,IN,IN,0980721,,1190116,0.07,1005,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111190,IND,Deetta Mccarter,111190,Deetta,1,1,1,1,1,1,1,1,1,1,EC,0,0,0,0,AC,PAC,111190,01,C3,IN,IN,IN,0931116,,1190106,0.05,1019,0,0,0,0,0,0,0,0,0,0,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
